2026-04-28 01:04:11.972755 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 41313, 'image': '', 'ttl': 60}
2026-04-28 01:36:01.255478 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 36157, 'image': '', 'ttl': 60}
2026-04-28 01:39:31.512178 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 36157, 'image': '', 'ttl': 60}
2026-04-28 02:51:59.999409 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 42045, 'image': '', 'ttl': 60}
2026-04-28 03:42:16.382971 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 38829, 'image': '', 'ttl': 60}
2026-04-28 03:59:05.843761 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 38829, 'image': '', 'ttl': 60}
2026-04-28 05:41:05.437077 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 45207, 'image': '', 'ttl': 60}
2026-04-28 08:39:12.942648 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 43455, 'image': '', 'ttl': 60}
2026-04-28 11:57:29.508494 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 39637, 'image': '', 'ttl': 60}
2026-04-28 12:08:36.633540 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 39637, 'image': '', 'ttl': 60}
2026-04-28 12:10:14.123976 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 39637, 'image': '', 'ttl': 60}
2026-04-28 12:20:14.504844 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 39637, 'image': '', 'ttl': 60}
2026-04-28 12:59:16.590786 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 43083, 'image': '', 'ttl': 60}
2026-04-28 15:42:14.528997 Updating to: {'id': 0, 'name': 'Switzerland', 'host': '185.195.71.218', 'port': 32795, 'image': '', 'ttl': 60}
